seat_code,seat,personal_name,current_party,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-09-13,2021-09-14,2021-09-15,2021-09-20,2021-09-21,2021-09-22,2021-09-23,2021-09-27,2021-09-28,2021-09-29,2021-09-30,2021-10-04,2021-10-05,2021-10-06,2021-10-07,2021-10-11,2021-10-12,2021-10-25,2021-10-26,2021-10-27,2021-10-28,2021-10-29,2021-11-01,2021-11-02,2021-11-03,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-29,2021-11-30,2021-12-01,2021-12-02,2021-12-06,2021-12-07,2021-12-08,2021-12-09,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-20,2022-01-20,2022-02-28,2022-03-01,2022-03-02,2022-03-03,2022-03-07,2022-03-08,2022-03-09,2022-03-10,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-21,2022-03-22,2022-03-23,2022-03-24,2022-04-11,2022-07-18,2022-07-19,2022-07-20,2022-07-21,2022-07-25,2022-07-26,2022-07-27,2022-07-28,2022-08-01,2022-08-02,2022-08-03,2022-08-04,2022-10-03,2022-10-04,2022-10-05,2022-10-06,2022-10-07,total
P001,Padang Besar,ZAHIDI BIN ZAINUL ABIDIN,UMNO,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
P002,Kangar,NOOR AMIN BIN AHMAD,PKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
P003,Arau,SHAHIDAN BIN KASSIM,UMNO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
P004,Langkawi,MAHATHIR BIN MOHAMAD,PEJUANG,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,54
P005,Jerlun,MUKHRIZ MAHATHIR,PEJUANG ,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23
P006,Kubang Pasu,AMIRUDDIN BIN HAMZAH,PEJUANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
P007,Padang Terap,MAHDZIR BIN KHALID,UMNO,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,55
P008,Pokok Sena,MAHFUZ BIN OMAR,AMANAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
P009,Alor Setar,CHAN MING KAI,PKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P010,Kuala Kedah,AZMAN BIN ISMAIL,PKR,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
