,Nama,Parti,Jawatan dalam Parlimen,Jawatan dalam Kabinet,Tempat Duduk,Parlimen,Kawasan,Negeri,No. Telefon,No. Faks,Email,Alamat Surat-menyurat,image_URL,,MAKLUMAT,Media Sosial
0,Tan Sri Azhar Azizan Harun,,,,,,Yang di-Pertua Dewan Rakyat,0,03-20700368,03-20708654,azharharun@parlimen.gov.my,"Pejabat Yang di-Pertua Dewan Rakyat, Aras 1 Blok Utama, Bangunan Parlimen, Jalan Parlimen, 50680 KUALA LUMPUR.",https://www.parlimen.gov.my//images/webuser/ahli/2020/bbb.jpg,,MAKLUMAT,
1,Dato Mohd Rashid Hasnon,BERSATU,Timbalan Yang di-Pertua Dewan Rakyat,,A-26,P150,Batu Pahat,Johor,03-20783808,03-20780961,pkmpbpahat18@gmail.com,"Pusat Khidmat Rakyat Parlimen Batu Pahat, No. 8, Jalan Timah Hitam, Taman Bukit Pasir, 83000 Batu Pahat, Johor Darul Takzim.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.150-BATU PAHAT.png,,MAKLUMAT,
2,Dr. Nizam Mydin bin Bacha Mydin,,Setiausaha Dewan Rakyat,,Setiausaha Dewan Rakyat,-,-,-,03-26017372,03-20704676,nizam.mydin@parlimen.gov.my,"Pejabat Setiausaha Dewan Rakyat, Bangunan Parlimen, Jalan Parlimen, 50680 Kuala Lumpur.",https://www.parlimen.gov.my//images/webuser/ahli/2019/Nizam_Bacha.jpg,,MAKLUMAT,
3,Dato Sri Ismail Sabri bin Yaakob,BN - UMNO,,YAB PERDANA MENTERI,A-3,P090,Bera,Pahang,03-8888 2211,03-88883973,ismailsabri@pmo.gov.my,"Pejabat Perdana Menteri, Aras 5, Blok Utama, Bangunan Perdana Putra, Pusat Pentadbiran Kerajaan Persekutuan, 62502 PUTRAJAYA.",https://www.parlimen.gov.my//images/webuser/ahli/2013/PM.jpg,,MAKLUMAT,
4,Dato Seri Mohamed Azmin bin Ali,BERSATU,,Menteri Kanan Perdagangan Antarabangsa dan Industri,A-2,P098,Gombak,Selangor,03-62000001,03-62064036,azminali@miti.gov.my,"Kementerian Perdagangan Antarabangsa dan Industri, Aras 30, Menara MITI, No.7, Jalan Sultan Haji Ahmad Shah, 50480 KUALA LUMPUR",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.098-GOMBAK.png,,MAKLUMAT,
5,Dato Seri Hishammuddin Tun Hussein,BN - UMNO,,Menteri Kanan Pertahanan,B-11,P153,Sembrong,Johor,03-26985020,03-20714551,hishammuddin@mod.gov.my,"Kementerian Pertahanan, Aras 5, Wisma Pertahanan, Jalan Padang Tembak, 50634 KUALA LUMPUR.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.153-SEMBRONG.png,,MAKLUMAT,
6,Dato Sri Haji Fadillah bin Yusof,GPS - PBB,,Menteri Kanan Kerja Raya,A-4,P194,Petra Jaya,Sarawak,03-27714018,03-27713288,fadillah@kkr.gov.my,"Kementerian Kerja Raya, Tingkat 5, Blok A, Kompleks Kerja Raya, Jalan Sultan Salahuddin, 50580 KUALA LUMPUR.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.194-PERTAJAYA.png,,MAKLUMAT,
7,Datuk Seri Ir. Dr. Wee Ka Siong,BN - MCA,,Menteri Pengangkutan,B-2,P148,Ayer Hitam,Johor,03-88921013,03-88880217,wee@mot.gov.my,"Kementerian Pengangkutan, Aras 10, No. 26, Jalan Tun Hussein, Presint 4, Pusat Pentadbiran Kerajaan Persekutuan, 62100 PUTRAJAYA.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.148-AYER HITAM.png,,MAKLUMAT,
8,Datuk Seri Saravanan a/l Murugan,BN - MIC,,Menteri Sumber Manusia,A-8,P072,Tapah,Perak,03-88865001,03-88892390,saravanan@mohr.gov.my,"Kementerian Sumber Manusia, Aras 9, Blok D3, Kompleks D, Pusat Pentadbiran Kerajaan Persekutuan, 62502 PUTRAJAYA.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.072-TAPAH.png,,MAKLUMAT,
9,Datuk Seri Panglima Dr. Johnity @ Maximus bin Ongkili,PBS,,Menteri di Jabatan Perdana Menteri (Hal Ehwal Sabah dan Sarawak),B-3,P168,Kota Marudu,Sabah,03-88727129,03-88887107,ongkili@jpm.gov.my,"Jabatan Perdana Menteri, Aras 3, Blok Timur, Bangunan Perdana Putra, Pusat Pentadbiran Kerajaan Persekutuan, 62502 PUTRAJAYA.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.168-KOTA MARUDU.png,,MAKLUMAT,
