seat_code,state,seat,current_party,personal_name
P001,Perlis,Padang Besar,UMNO,ZAHIDI BIN ZAINUL ABIDIN
P002,Perlis,Kangar,PKR,NOOR AMIN BIN AHMAD
P003,Perlis,Arau,UMNO,SHAHIDAN BIN KASSIM
P004,Kedah,Langkawi,PEJUANG,MAHATHIR BIN MOHAMAD
P005,Kedah,Jerlun,PEJUANG ,MUKHRIZ MAHATHIR
P006,Kedah,Kubang Pasu,PEJUANG,AMIRUDDIN BIN HAMZAH
P007,Kedah,Padang Terap,UMNO,MAHDZIR BIN KHALID
P008,Kedah,Pokok Sena,AMANAH,MAHFUZ BIN OMAR
P009,Kedah,Alor Setar,PKR,CHAN MING KAI
P010,Kedah,Kuala Kedah,PKR,AZMAN BIN ISMAIL
P011,Kedah,Pendang,PAS,AWANG BIN HASHIM
P012,Kedah,Jerai,PAS,SABRI BIN AZIT
P013,Kedah,Sik,PAS,AHMAD TARMIZI BIN SULAIMAN
P014,Kedah,Merbok,PKR,NOR AZRINA BINTI SURIP
P015,Kedah,Sungai Petani,PKR,JOHARI BIN ABDUL
P016,Kedah,Baling,UMNO,ABDUL AZEEZ BIN ABDUL RAHIM
P017,Kedah,Padang Serai,PKR,KARUPAIYA A/L MUTUSAMI
P018,Kedah,Kulim Bandar Baharu,PKR,SAIFUDDIN NASUTION BIN ISMAIL
P019,Kelantan,Tumpat,PAS,CHE ABDULLAH BIN MAT NAWI
P020,Kelantan,Pengkalan Chepa,PAS,AHMAD MARZUK BIN SHAARY
P021,Kelantan,Kota Bharu,PAS,TAKIYUDDIN BIN HASSAN
P022,Kelantan,Pasir Mas,PAS,AHMAD FADHLI BIN SHAARI
P023,Kelantan,Rantau Panjang,PAS,SITI ZAILAH BINTI MOHD YUSOFF
P024,Kelantan,Kubang Kerian,PAS,TUAN IBRAHIM BIN TUAN MAN
P025,Kelantan,Bachok,PAS,NIK MOHAMAD ABDUH BIN NIK ABDUL AZIZ
P026,Kelantan,Ketereh,UMNO,ANNUAR BIN MUSA
P027,Kelantan,Tanah Merah,PPBM,IKMAL HISHAM BIN ABDUL AZIZ
P028,Kelantan,Pasir Puteh,PAS,NIK MUHAMMAD ZAWAWI BIN SALLEH
P029,Kelantan,Machang,UMNO,AHMAD JAZLAN BIN YAAKUB
P030,Kelantan,Jeli,PPBM,MUSTAPA BIN MOHAMED
P031,Kelantan,Kuala Krai,PAS,ABDUL LATIFF BIN ABDUL RAHMAN
P032,Kelantan,Gua Musang,UMNO,TENGKU RAZALEIGH BIN TENGKU MOHD HAMZAH
P033,Terengganu,Besut,UMNO,IDRIS BIN JUSOH
P034,Terengganu,Setiu,PAS,SHAHARIZUKIRNAIN BIN ABD KADIR
P035,Terengganu,Kuala Nerus,PAS,MOHD KHAIRUDDIN BIN AMAN RAZALI
P036,Terengganu,Kuala Terengganu,PAS,AHMAD AMZAD BIN MOHAMED @ HASHIM
P037,Terengganu,Marang,PAS,ABDUL HADI BIN AWANG
P038,Terengganu,Hulu Terengganu,PPBM,ROSOL BIN WAHID
P039,Terengganu,Dungun,PAS,WAN HASSAN BIN MOHD RAMLI
P040,Terengganu,Kemaman,PAS,CHE ALIAS BIN HAMID
P041,Pulau Pinang,Kepala Batas,UMNO,REEZAL MERICAN BIN NAINA MERICAN
P042,Pulau Pinang,Tasek Gelugor,PPBM,SHABUDIN BIN YAHAYA
P043,Pulau Pinang,Bagan,DAP,LIM GUAN ENG
P044,Pulau Pinang,Permatang Pauh,PKR,NURUL IZZAH BINTI ANWAR
P045,Pulau Pinang,Bukit Mertajam,DAP,SIM CHEE KEONG
P046,Pulau Pinang,Batu Kawan,DAP,KASTHURIRAANI A/P PATTO
P047,Pulau Pinang,Nibong Tebal,PPBM,MANSOR BIN OTHMAN
P048,Pulau Pinang,Bukit Bendera,DAP,WONG HON WAI
P049,Pulau Pinang,Tanjong,DAP,CHOW KON YEOW
P050,Pulau Pinang,Jelutong,DAP,SANISVARA NETHAJI RAYER A/L RAJAJI
P051,Pulau Pinang,Bukit Gelugor,DAP,RAMKARPAL SINGH A/L KARPAL SINGH
P052,Pulau Pinang,Bayan Baru,PKR,SIM TZE TZIN
P053,Pulau Pinang,Balik Pulau,PKR,MUHAMMAD BAKHTIAR BIN WAN CHIK
P055,Perak,Lenggong,UMNO,SHAMSUL ANUAR BIN NASARAH
P056,Perak,Larut,PPBM,HAMZAH BIN ZAINUDIN
P057,Perak,Parit Buntar,AMANAH,MUJAHID BIN YUSOF
P058,Perak,Bagan Serai,PPBM,NOOR AZMI BIN GHAZALI
P059,Perak,Bukit Gantang,PPBM,SYED ABU HUSSIN BIN HAFIZ SYED ABDUL FASAL
P060,Perak,Taiping,DAP,TEH KOK LIM
P061,Perak,Padang Rengas,UMNO,MOHAMED NAZRI BIN ABDUL AZIZ
P062,Perak,Sungai Siput,PKR,KESAVAN A/L SUBRAMANIAM
P063,Perak,Tambun,PPBM,AHMAD FAIZAL BIN AZUMU
P064,Perak,Ipoh Timur,DAP,WONG KAH WOH
P065,Perak,Ipoh Barat,DAP,M. KULASEGARAN A/L V. MURUGESON
P066,Perak,Batu Gajah,DAP,SIVAKUMAR A/L VARATHARAJU NAIDU
P067,Perak,Kuala Kangsar,UMNO,MASTURA BINTI MOHD YAZID
P068,Perak,Beruas,DAP,NGEH KOO HAM
P069,Perak,Parit,UMNO,MOHD NIZAR BIN ZAKARIA
P070,Perak,Kampar,DAP,SU KEONG SIONG
P071,Perak,Gopeng,PKR,LEE BOON CHYE
